id	name	level	type	product1: original	array	product2: animal related	product3: machine product related	product4: recipe product related	product5: Beauty shop related
规则	最初原料一栏(E)必须要有id								
500191	Matcha Tree	10	trees	500192	3			600133;600131;600132	
200953	Cashew Tree	11	trees	200954	2			600090;600038;600222;600115	
65008	White Chocolate Tree	12	trees	65009	1		65010;200427	600131;600142;600095;600207;600156;600143;600097;600208	
20155	Mango Tree	13	trees	20156	1		200469;52010;100263	600164;600016	
500390	Chili Bush	15	trees	500391	3			600245;600248;600250	
500222	Mistletoe Bush	15	trees	500223	4	41001	300017		
500354	Hazelnut Tree	15	trees	500355	2			600230;600231;600232;600255;600253;600256	
500214	Anise Tree	15	trees	500215	2			600157;600146;600150;600147;600159	
500250	Plum Tree	15	trees	500251	3		100265		
500271	Sorbus Tree	15	trees	500272	2			600184;600186;600231;600187	
500331	Brazil Nuts Tree	15	trees	500332	3			600223	
500343	Guarana Bush	15	trees	500344	3			600225	
500378	Persimmon Tree	15	trees	500379	3				
500396	Date Tree	15	trees	500397	3			600251;600252;600253	
500408	Laurus Tree	15	trees	500409	4				500410;500517
500438	Liquorice Tree	15	trees	500439	3			600270;600271	
500483	Juniper Bush	15	trees	500484	3			600287;600289	
500515	Plumeria tree	15	trees	500516	4				
500536	Adzuki Tree	15	trees	500537	3			600314;600316	
500573	Black Pepper Tree	15	trees	500574	3			600329;600331	
500288	Jackfruit Tree	15	trees	500289	2		11110;11504	600299;600198;600301;600199	
500293	Jasmine Bush	15	trees	500294	2		11805	600201;600202;600204;600205	500389
500418	Quince Tree	15	trees	500419	3			600260;600262	
500506	Black Currant 	15	trees	500507	3			600293;600294;600295	
500111	Ice Tree	15	trees	500112	1		11407	600070;600240;600132;600241	
500123	Elderberry Tree	15	trees	500124	2		11406	600076	
500183	Spooky Tree	15	trees	500184	3			600095;600275;600097;600277	
500279	Wild Rose Bush	15	trees	500280	3			600192;600193	
500309	Walnut Tree	15	trees	500310	2			600313;600210;600211;600230;600231;600232;600255;600256	
500428	Grapefruit Tree	15	trees	500429	2			600263;600264;600265	
500050	Nutmeg tree	15	trees	500051	3			600282;600283	
500526	Golden Peach tree	15	trees	500527	3			600310	
500361	Pomegranate Tree	15	trees	500362	3			600236;600237;600238	
500550	Rainbow Tree	15	trees	500551	3			600317;600318;600319	
200345	Apricot Tree	15	trees	200346	2		100264;200347	600176;600178	
500089	Sakura Tree	16	trees	500090	1			600061;600062;600063;600315;600316;600324;600325	500389
9409	Chocolate Tree	17	trees	9410	1		65016;9703;20077;200359	600187;600020;600152;600207;600153;600208	
500206	Dark Chocolate Tree	19	trees	500207	1		200570;200573;200571;200572	600209;600211;600150;600148;600145;600147;600206;600208;600224;600226;600276;600277	
81	Banana Tree	21	trees	82	1		200339;100260;20196;9103;11509	600158;600044;600159;600237;600238	32024
500085	Pecan Tree	23	trees	500073	3			600050;600051	
500189	500189	10	collectable	500190	2			600136	
500316	500316	10	collectable	500317	1			600215;600217;600218;600220;600279;600280	
500374	500374	13	collectable	500375	2			600240;600241	
30220	30220	10	collectable	30221	1		30223;30224;30225;30228	600171;600288;600289;600172	
500465	500465	10	collectable	500466	2		200358;200365	600278;600280	
500563	500563	10	collectable	500564	3			600320;600322	
30126	Provence Beehive	20	animals	30109	2	30109	30183;30184;30186;30185;30187;30188		32021
9501	Pig Coop	23	animals	9503	3	9503	52003;20033		
20037	White Goat	24	animals	20040	1	20040	20082;40080;20071;20074;40068;20077;20073;40069;20070;20078		32018
41000	Reindeer	25	animals	41001	3	41001	300017		
41028	Panda	31	animals	41029	1	41029	11801;11802;11803;11804;11805;11806;11807		
20045	Coffee Machine	8	gear	20046	2		20046;65010		
200357	Popcorn Machine	15	gear	200360	3		200360;200359;200530		
200567	Chocolate Coating Machine	19	gear	200570	1		200570;200573;200571;200572	600276;600206;600208;600224;600226;600277	
100255	Icecream Machine	26	gear	100258	1		100258;100259;100260;100261;100262;100263;100264;100265;100266;100267;100268	600259	
30141	Hotdog Machine	32	gear	30142	2		30142;65013;52006;65021		
