ID	name	level	Scene	difficulty	DP	time	RC
30156	White Radish	150	1	10		180	
4	Clover	1	1	10		1800	
7024	Alfalfa	27	10	10	0	1200	
4007	Pineapple	18	1	10		3600	
20028	Pasture	13	1	10		3600	
7022	Honeysuckle	31	10	10	800	2400	
7030	Cactus	29	10	10	300	3600	
7026	Flax	27	10	10	0	5400	
7012	Tea plant	35	10	10	2560	5400	
30072	Lavender	12	1	11		7200	
30127	Cucumber	7	1	11		7200	
200300	Carnation	150	1	11		7200	
300003	Love Rose	22	1	11		7200	
500026	Pink Primrose	1	1	11		7200	
500036	Iris	151	1	11		7200	
7016	Wild wheat	33	10	11	1600	7200	
83	Blueberry	19	1	11		10800	
9	Corn	4	1	12		14400	
5005	Red Rose	17	1	12		14400	
5009	White Rose	20	1	12		14400	
30145	Lotus Flower	21	1	12		14400	
500086	Akita Rice	1	1	12		14400	
500147	cabbages	23	1	12		14400	
500176	Hollaween pumpkin	1	1	12		14400	
500561	Daffodils	28	10	12		14400	
7018	Cassava	27	10	12	0	14400	
7002	Zucchini	32	10	12	1440	14400	
87	Raspberry	29	1	12		18000	
200355	Vanilla	151	1	12		18000	
41	Grape	1	1	13		21600	
85	Blackberry	25	1	13		21600	
9117	Daisy	17	1	13		21600	
20022	Cotton	28	1	13		21600	
20026	Coffee Bean	8	1	13		21600	
200422	Oat	6	1	13		21600	
500325	Green Bean	15	1	13		21600	
500367	Spinach	24	1	13		21600	
7000	Cranberry	27	10	13	0	21600	
200001	White Grapes	10	1	13		25200	
20105	Barley	30	10	13	480	25200	
3	Wheat	1	1	13		28800	
32	Carrot	9	1	13		28800	
149	Green Lettuce	32	1	13		28800	
9123	Sweet Potato	23	1	13		28800	
200007	Pitaya	11	1	13		28800	
200227	Pink Rose	27	1	13		28800	
200527	Sugar Beet	28	1	13		28800	
500351	Fern Flower	22	1	13		28800	
200341	Kiwi	34	10	13	2240	28800	
132	Strawberry	26	1	14		32400	
200457	Charnonnay	14	1	14		32400	
200520	Garlic	30	10	14		32400	
200235	Mint	36	10	14	2800	32400	
4006	Watermelon	31	1	14		36000	
5001	Lily	20	1	14		36000	
20107	Hops	151	1	14		36000	
7020	Camomile	30	10	14	640	36000	
9119	Onion	11	1	15		39600	
5007	Blue Rose	24	1	15		43200	
20121	Cane	18	1	15		43200	
20187	Tea	150	1	15		43200	
200524	Ginger	151	1	15		43200	
151	Red Pepper	20	1	16		50400	
6003	Rice	16	1	16		50400	
20000	Bean	29	1	16		50400	
20020	Eggplant	31	1	16		50400	
65002	Rye	5	1	16		50400	
153	Pumpkin	21	1	17		54000	
2	Tomato	6	1	17		57600	
9115	Mushroom	30	1	17		57600	
7028	Violet	34	10	17	2960	57600	
147	Potato	25	1	18		64800	
20005	Peanut	26	1	18		64800	
20024	Cauliflower	33	1	18		64800	
9121	Sunflower	27	1	19		72000	
9411	Love Fruit	19	1	19		72000	
7014	Pineberry	37	10	19	3120	72000	
5003	Tulip	27	1	20		79200	
ID	name	level	Scene	difficulty	DP	time	RC
